Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,14964,0,27,32.3098593357687,10.757700001704507,411.3042000099085,10010.715383587276,16.658564026246403,0.0,27,32,37,41,52,66,90,110,260,400,410
GET,GET / (warmup),200,0,200.0,212.97332850044768,77.1180000010645,422.9289000068093,9973.0,0.22264854352106925,0.0,200,240,260,270,320,360,380,390,420,420,420
GET,GET /cart,5902,0,25,29.524850203569343,9.726299991598353,310.08520000614226,9889.738224330735,6.570358519306754,0.0,25,30,34,37,48,61,83,98,210,310,310
GET,GET /logout,2962,0,35,41.242403950046054,15.619400001014583,443.44649999402463,9973.0,3.2974249295470357,0.0,35,41,46,50,64,80,120,160,340,440,440
GET,GET /product/:id,8921,0,25,30.213430657986194,10.509500003536232,357.57639999792445,7579.89889025894,9.931238283757294,0.0,25,30,34,37,49,62,88,120,240,360,360
GET,GET /static/*,3006,0,9,10.74598433138649,3.401200010557659,102.3365000000922,32693.7877578177,3.3464076091216706,0.0,9,11,13,14,18,22,30,37,77,100,100
POST,POST /cart,5913,0,39,46.04688800939138,18.761900006211363,400.16130000003614,12218.836292913918,6.582604189200413,0.0,39,46,52,57,73,90,120,160,300,400,400
POST,POST /cart (checkout prep),2986,0,40,46.85739705297202,18.166000008932315,408.4459000005154,12416.803081044876,3.324142754769564,0.0,40,47,53,58,74,92,120,150,330,410,410
POST,POST /cart/checkout,2986,0,40,44.34221895510423,15.791099998750724,388.62470000458416,6434.819490957803,3.324142754769564,0.0,40,46,51,55,68,81,100,120,280,390,390
POST,POST /cart/empty,2988,0,37,44.37260642587587,16.604199990979396,302.572999993572,10000.843038821955,3.3263692402047744,0.0,37,44,50,55,69,88,120,160,260,300,300
POST,POST /setCurrency,2989,0,35,41.08067805294969,16.723099994123913,334.46319999347907,10018.06724657076,3.3274824829223797,0.0,35,42,47,51,64,81,110,140,250,330,330
,Aggregated,53817,0,30,35.756439561895185,3.401200010557659,443.44649999402463,11036.836984595946,59.91138333336692,0.0,30,37,42,46,59,76,110,140,310,400,440
